epoch,timestamp,average_loss,output1_loss,output2_loss,output3_loss
68,2025-03-12 01:30:03,-1967.21666659828,-2117.285965606946,-2018.591083943343,-1816.1337254628413
69,2025-03-12 01:32:38,-2016.2210467683167,-2170.858212767529,-2068.3519676913734,-1861.1447907776392
70,2025-03-12 01:35:12,-2058.2804519268643,-2216.381009141938,-2111.243334345457,-1899.9826937122505
71,2025-03-12 01:37:45,-2100.791911149225,-2262.3788416245407,-2154.5943665063683,-1939.249698414522
72,2025-03-12 01:40:23,-2141.8522477350316,-2306.7695230435925,-2196.4927988773634,-1977.1836850462842
73,2025-03-12 01:42:59,-2182.2452946510634,-2350.465129948464,-2237.6797757188815,-2014.5043627314208
74,2025-03-12 01:45:33,-2227.5408227744224,-2399.491230427718,-2283.8898997587316,-2056.3160595292807
75,2025-03-12 01:48:07,-2271.0400298302916,-2446.5108652836134,-2328.2482089515493,-2096.5306016938025
76,2025-03-12 01:50:41,-2313.976719447545,-2492.8343331473216,-2372.1006680015757,-2136.2403431099
77,2025-03-12 01:53:15,-2359.7576093914126,-2542.3972844997375,-2418.765231092437,-2178.5219695788473
78,2025-03-12 01:55:48,-2401.91765382911,-2588.0352177980567,-2461.7516474363183,-2217.4538307510506
79,2025-03-12 01:58:22,-2446.09419519761,-2635.807543329832,-2506.8119460674893,-2258.27068117286
80,2025-03-12 02:00:57,-2492.108111213235,-2685.4512354746585,-2553.823789965205,-2300.813794560793
81,2025-03-12 02:03:32,-2536.128733915441,-2733.144890280331,-2598.6350364364494,-2341.4866738199185
82,2025-03-12 02:06:04,-2580.8824842436975,-2781.4884207589284,-2644.3317789029675,-2382.8408510865283
83,2025-03-12 02:08:38,-2623.5705874146533,-2826.712982947085,-2688.23794478729,-2422.7130711659665
84,2025-03-12 02:11:10,-2674.985971146271,-2883.1543112362133,-2740.3200970818016,-2469.8589174927783
85,2025-03-12 02:13:44,-2722.2287474560135,-2934.2459357766543,-2788.511850052521,-2513.503358472295
86,2025-03-12 02:16:18,-2770.3117019268643,-2986.416727530856,-2837.4838846671482,-2557.8535771730567
87,2025-03-12 02:18:54,-2816.799929835215,-3036.6170603006826,-2884.941383682379,-2600.830767463235
88,2025-03-12 02:21:27,-2865.139474051339,-3088.928749917936,-2934.2352407759977,-2645.475456686581
89,2025-03-12 02:24:00,-2912.4785505022323,-3140.1439650078783,-2982.5125906808034,-2689.203728170956
90,2025-03-12 02:26:35,-2962.761138146665,-3194.4909052488183,-3033.8060641248685,-2735.679898814995
91,2025-03-12 02:29:09,-3010.3036042542017,-3245.9218647419907,-3082.28568761489,-2779.603086840205
92,2025-03-12 02:31:43,-3060.3884195279675,-3300.076588350184,-3133.38586118041,-2825.873951631434
93,2025-03-12 02:34:23,-3100.835073775604,-3343.449577780331,-3174.7702739298843,-2863.4225438222165
94,2025-03-12 02:36:57,-3155.084739364496,-3402.41109998687,-3229.9371142988443,-2913.450396369485
95,2025-03-12 02:39:32,-3206.9960322019433,-3458.5111299402574,-3282.9076327796743,-2961.42574842437
96,2025-03-12 02:42:07,-3256.564137178309,-3512.1685390953257,-3333.439598788734,-3007.203972311581
97,2025-03-12 02:44:43,-3310.132149832589,-3570.2099752987133,-3388.0162015001315,-3056.660494764312
98,2025-03-12 02:47:17,-3360.9813776096375,-3625.1512133173583,-3439.905517578125,-3103.6606301700367
99,2025-03-12 02:49:50,-3413.6886160714284,-3682.1532546612393,-3493.6695607930674,-3152.354118795956
100,2025-03-12 02:52:24,-3465.608084542411,-3738.317477186187,-3546.6134392233457,-3200.3216604024424
101,2025-03-12 11:31:43,-3514.7529173778885,-3791.47302553834,-3596.706337808561,-3245.7474744780725
102,2025-03-12 11:33:51,-3567.952577222295,-3849.011380235688,-3650.964090812106,-3294.89956588104
103,2025-03-12 11:35:59,-3621.5075827205883,-3906.9582765723476,-3705.5537724855567,-3344.38461380646
104,2025-03-12 11:38:08,-3670.7919983423058,-3960.185249392726,-3755.8558913799893,-3389.9488843388917
105,2025-03-12 11:40:16,-3726.8436987099526,-4020.708682789522,-3813.0443515296743,-3441.7941053374475
106,2025-03-12 11:42:24,-3784.028002314207,-4082.617698348871,-3871.363545906644,-3494.583717666754
107,2025-03-12 11:44:32,-3840.914815437894,-4144.226451713498,-3929.315577402836,-3547.130159778755
108,2025-03-12 11:46:40,-3891.625276966255,-4198.9932276621585,-3981.0491502264967,-3594.0311617811185
109,2025-03-12 11:48:48,-3945.021371536896,-4256.732760389312,-4035.502685546875,-3643.3765263918067
110,2025-03-12 11:50:56,-4001.0011201746324,-4317.334562926733,-4092.5488937762607,-3695.0899278656775
111,2025-03-12 11:53:04,-4057.707318474265,-4378.673130580357,-4150.338417886686,-3747.509349149816
112,2025-03-12 11:55:13,-4118.71417082458,-4444.569364659927,-4212.611574317227,-3803.8993873916756
113,2025-03-12 11:57:22,-4174.450213776917,-4504.97467502626,-4269.249101398372,-3855.457369764312
114,2025-03-12 11:59:31,-4226.301688058035,-4561.008099724265,-4322.2006035812765,-3903.3473320969015
115,2025-03-12 12:01:39,-4282.126512030593,-4621.419971113445,-4379.118843142726,-3954.911826253939
116,2025-03-12 12:03:48,-4341.641174829307,-4685.869341681985,-4439.759014738708,-4009.8812799533875
117,2025-03-12 12:05:57,-4396.158172350972,-4744.7226521467965,-4495.4106404280465,-4060.2951352415967
118,2025-03-12 12:08:05,-4455.414848263524,-4808.781968060662,-4555.856117056197,-4115.0581854812235
119,2025-03-12 12:10:13,-4514.60173688616,-4872.840124819459,-4616.180781003808,-4169.738355107668
